function,type,places_calls,sends_sms,provider,compliance_gate,twilio_sig_verified,severity,trigger_ui,trigger_cron,trigger_webhook,trigger_fn,trigger_external,trigger_db,last_activity,row_count_90d,dependencies_ok,disposition,migration_group,egress,log_tables
tt-finalize-accept,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/admin-notify/index.ts:7;supabase/functions/tt-claim-via-link/index.ts:4,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G5-toptier-sms-notify,twilio-sms;calls:admin-notify,tt_notifications_log
tt-nightly-report,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,DELETE-CANDIDATE,,twilio-sms,NOT-LOGGED
tt-partner-response,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,inbound-SMS reply,supabase/functions/tt-finalize-accept/index.ts:3;supabase/functions/tt-finalize-accept/index.ts:9,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G5-toptier-sms-notify,twilio-sms;calls:tt-finalize-accept,tt_notifications_log
tt-release-expired-auths,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,YES,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G5-toptier-sms-notify,twilio-sms,tt_notifications_log
tt-smart-dispatch,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/toptier/TTBookings.tsx:263;src/pages/os/toptier/TTDispatchRequests.tsx:84,none,none,supabase/functions/admin-notify/index.ts:9;supabase/functions/create-tt-booking/index.ts:163,UNKNOWN-MAKE,none,recent,44,MISSING:partners,GATE-NOW,G5-toptier-sms-notify,twilio-sms;calls:admin-notify,"tt_dispatch_requests,tt_dispatch_tokens,tt_notifications_log"
tt-trigger-bland-campaign,function,Y,N,bland,Y,n/a-or-NO,P2,none,none,none,supabase/functions/dd-trigger-bland-campaign/index.ts:6;supabase/functions/tt-create-bland-agent/index.ts:8,UNKNOWN-MAKE,none,recent,996,ok,ALREADY-GATED,,"bland;calls:dc-bland-webhook,gasmask-dnc-write","dc_call_logs,dc_campaigns,dc_leads"
twilio-bridge-to-bland,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/twilio-campaign-confirm/index.ts:2;supabase/functions/twilio-campaign-confirm/index.ts:102,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G2-bland-direct,"bland;calls:bland-agent-webhook,twilio-bridge-fallback,twilio-recording-callback",NOT-LOGGED
twilio-manual-call,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/communication/manual/ManualCallPage.tsx:168;src/pages/communication/dialer/CampaignWizardPage.tsx:495,none,none,supabase/functions/comms-feature-prober/index.ts:32,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,twilio-call;calls:twilio-call-status,NOT-LOGGED
twilio-outbound-call,function,Y,N,twilio-direct,Y,n/a-or-NO,P2,src/hooks/useUTAIDialer.ts:45;src/components/communication/VoiceGoLiveReport.tsx:254,none,none,supabase/functions/voice-pipeline-audit/index.ts:175;supabase/functions/voice-pipeline-audit/index.ts:191,UNKNOWN-MAKE,none,none-90d,0,ok,ALREADY-GATED,,"twilio-call;calls:twilio-bridge-to-bland,twilio-call-status,twilio-recording-callback",call_recordings
ut-ambassador-finder,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTAmbassadorFinder.tsx:56,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G8-ambassador-ut-sms,twilio-sms,NOT-LOGGED
ut-growth-engine,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTGrowthEngine.tsx:84;src/pages/os/unforgettable/UTCustomerAcquisition.tsx:72,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-NOW,G8-ambassador-ut-sms,twilio-sms,ut_outreach_log
ut-send-booking-confirmation,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/ut-stripe-webhook/index.ts:35,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G8-ambassador-ut-sms,twilio-sms,NOT-LOGGED
ut-track-ambassador-sale,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,DELETE-CANDIDATE,,twilio-sms,ut_pub_referrals
ut-trigger-bland-campaign,function,Y,N,bland,Y,n/a-or-NO,P2,src/pages/os/unforgettable/UTOutreachCommand.tsx:440,none,none,supabase/functions/dc-bland-webhook/index.ts:624;supabase/functions/tt-trigger-bland-campaign/index.ts:6,UNKNOWN-MAKE,none,recent,996,ok,ALREADY-GATED,,"bland;calls:dc-bland-webhook,gasmask-dnc-write","dc_campaigns,dc_leads"
va-initiate-call,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/comms-feature-prober/index.ts:36,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,twilio-call,va_call_logs
va-send-intake-invite,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/components/va/VANewLeadIntakeForm.tsx:350;src/components/va/VAIntakeInvitesPanel.tsx:141,none,none,none,UNKNOWN-MAKE,none,recent,822,ok,GATE-NOW,G4-generic-sms-senders,twilio-sms,"outbound_messages,va_intake_invites"
